ola,columna,valor,total_apariciones
LAT2005,A_003_021,-1.0,1558
LAT2005,A_003_021,3.0,1547
LAT2005,A_003_021,2.0,826
LAT2005,A_003_021,9.0,725
LAT2005,A_003_021,-2.0,273
LAT2005,A_003_021,-6.0,15
LAT2006,A_003_021,5.0,4284
LAT2006,A_003_021,7.0,2575
LAT2006,A_003_021,10.0,2480
LAT2006,A_003_021,8.0,2475
LAT2006,A_003_021,6.0,2340
LAT2006,A_003_021,4.0,2276
LAT2006,A_003_021,3.0,1571
LAT2006,A_003_021,1.0,1328
LAT2006,A_003_021,-1.0,1169
LAT2006,A_003_021,9.0,1112
LAT2006,A_003_021,2.0,855
LAT2006,A_003_021,-2.0,185
LAT2006,A_003_021,-6.0,58
LAT2007,A_003_021,5.0,4770
LAT2007,A_003_021,6.0,3267
LAT2007,A_003_021,7.0,2944
LAT2007,A_003_021,8.0,2479
LAT2007,A_003_021,4.0,2184
LAT2007,A_003_021,10.0,1722
LAT2007,A_003_021,3.0,1396
LAT2007,A_003_021,-1.0,1185
LAT2007,A_003_021,9.0,1000
LAT2007,A_003_021,1.0,797
LAT2007,A_003_021,2.0,614
LAT2007,A_003_021,-2.0,263
LAT2007,A_003_021,-6.0,73
LAT2008,A_003_021,5.0,4546
LAT2008,A_003_021,7.0,3056
LAT2008,A_003_021,6.0,2991
LAT2008,A_003_021,8.0,2651
LAT2008,A_003_021,4.0,2192
LAT2008,A_003_021,10.0,2027
LAT2008,A_003_021,3.0,1382
LAT2008,A_003_021,1.0,1025
LAT2008,A_003_021,9.0,1015
LAT2008,A_003_021,-1.0,940
LAT2008,A_003_021,2.0,629
LAT2008,A_003_021,-2.0,155
LAT2008,A_003_021,-6.0,66
LAT2009,A_003_021,5.0,3688
LAT2009,A_003_021,8.0,2804
LAT2009,A_003_021,-2.0,2711
LAT2009,A_003_021,10.0,2701
LAT2009,A_003_021,7.0,2651
LAT2009,A_003_021,6.0,2619
LAT2009,A_003_021,4.0,1392
LAT2009,A_003_021,9.0,1359
LAT2009,A_003_021,-1.0,907
LAT2009,A_003_021,3.0,834
LAT2009,A_003_021,1.0,572
LAT2009,A_003_021,2.0,416
LAT2009,A_003_021,-6.0,36
LAT2010,A_003_021,5.0,3578
LAT2010,A_003_021,8.0,2923
LAT2010,A_003_021,7.0,2709
LAT2010,A_003_021,6.0,2591
LAT2010,A_003_021,10.0,2578
LAT2010,A_003_021,-3.0,2483
LAT2010,A_003_021,4.0,1480
LAT2010,A_003_021,9.0,1410
LAT2010,A_003_021,3.0,929
LAT2010,A_003_021,-1.0,814
LAT2010,A_003_021,1.0,590
LAT2010,A_003_021,2.0,485
LAT2010,A_003_021,-2.0,104
LAT2010,A_003_021,-6.0,13
LAT2011,A_003_021,5.0,3479
LAT2011,A_003_021,8.0,3105
LAT2011,A_003_021,7.0,2998
LAT2011,A_003_021,6.0,2922
LAT2011,A_003_021,10.0,2067
LAT2011,A_003_021,4.0,1512
LAT2011,A_003_021,9.0,1341
LAT2011,A_003_021,3.0,866
LAT2011,A_003_021,-1.0,731
LAT2011,A_003_021,1.0,540
LAT2011,A_003_021,2.0,440
LAT2011,A_003_021,-2.0,203
LAT2013,A_003_021,5.0,3760
LAT2013,A_003_021,6.0,2727
LAT2013,A_003_021,7.0,2722
LAT2013,A_003_021,10.0,2610
LAT2013,A_003_021,-4.0,2459
LAT2013,A_003_021,8.0,2417
LAT2013,A_003_021,4.0,1673
LAT2013,A_003_021,3.0,1023
LAT2013,A_003_021,1.0,1006
LAT2013,A_003_021,9.0,994
LAT2013,A_003_021,-1.0,656
LAT2013,A_003_021,2.0,479
LAT2013,A_003_021,-2.0,108
LAT2013,A_003_021,96.0,29
LAT2015,A_003_021,5.0,3886
LAT2015,A_003_021,7.0,2449
LAT2015,A_003_021,6.0,2302
LAT2015,A_003_021,10.0,2292
LAT2015,A_003_021,8.0,2192
LAT2015,A_003_021,1.0,1672
LAT2015,A_003_021,4.0,1612
LAT2015,A_003_021,3.0,1151
LAT2015,A_003_021,-1.0,979
LAT2015,A_003_021,9.0,896
LAT2015,A_003_021,2.0,637
LAT2015,A_003_021,-2.0,151
LAT2015,A_003_021,-6.0,31
LAT2016,A_003_021,5.0,3842
LAT2016,A_003_021,7.0,2274
LAT2016,A_003_021,1.0,2206
LAT2016,A_003_021,6.0,2187
LAT2016,A_003_021,10.0,2185
LAT2016,A_003_021,8.0,1972
LAT2016,A_003_021,4.0,1639
LAT2016,A_003_021,3.0,1257
LAT2016,A_003_021,-2.0,959
LAT2016,A_003_021,2.0,801
LAT2016,A_003_021,9.0,800
LAT2016,A_003_021,-6.0,65
LAT2016,A_003_021,-1.0,17
LAT2017,A_003_021,5.0,4059
LAT2017,A_003_021,1.0,2437
LAT2017,A_003_021,6.0,2099
LAT2017,A_003_021,10.0,2093
LAT2017,A_003_021,7.0,2046
LAT2017,A_003_021,8.0,1918
LAT2017,A_003_021,4.0,1679
LAT2017,A_003_021,3.0,1355
LAT2017,A_003_021,-1.0,814
LAT2017,A_003_021,2.0,810
LAT2017,A_003_021,9.0,742
LAT2017,A_003_021,-2.0,121
LAT2017,A_003_021,-6.0,27
LAT2018,A_003_021,,20204
LAT2020,A_003_021,,20204
LAT2023,A_003_021,,19205
LAT2024,A_003_021,,19214
LAT1995,A_003_031,3.0,3606
LAT1995,A_003_031,2.0,2592
LAT1995,A_003_031,4.0,1510
LAT1995,A_003_031,1.0,868
LAT1995,A_003_031,-1.0,389
LAT1995,A_003_031,-2.0,104
LAT1996,A_003_031,3.0,9714
LAT1996,A_003_031,2.0,4891
LAT1996,A_003_031,4.0,4171
LAT1996,A_003_031,1.0,1631
LAT1996,A_003_031,-1.0,512
LAT1996,A_003_031,-2.0,281
LAT1997,A_003_031,3.0,7710
LAT1997,A_003_031,2.0,6394
LAT1997,A_003_031,4.0,3209
LAT1997,A_003_031,1.0,2331
LAT1997,A_003_031,-1.0,416
LAT1997,A_003_031,-2.0,183
LAT1998,A_003_031,3.0,7965
LAT1998,A_003_031,2.0,6077
LAT1998,A_003_031,4.0,3349
LAT1998,A_003_031,1.0,2236
LAT1998,A_003_031,-1.0,446
LAT1998,A_003_031,-2.0,258
LAT2000,A_003_031,3.0,7648
LAT2000,A_003_031,2.0,4441
LAT2000,A_003_031,4.0,3287
LAT2000,A_003_031,1.0,2092
LAT2000,A_003_031,-1.0,438
LAT2000,A_003_031,-2.0,132
LAT2001,A_003_031,3.0,8496
LAT2001,A_003_031,2.0,4780
LAT2001,A_003_031,4.0,4251
LAT2001,A_003_031,-1.0,1510
LAT2001,A_003_031,1.0,1205
LAT2001,A_003_031,-2.0,389
LAT2002,A_003_031,3.0,8073
LAT2002,A_003_031,2.0,5920
LAT2002,A_003_031,4.0,3938
LAT2002,A_003_031,1.0,1681
LAT2002,A_003_031,-1.0,1044
LAT2002,A_003_031,-2.0,350
LAT2003,A_003_031,3.0,8987
LAT2003,A_003_031,2.0,5529
LAT2003,A_003_031,4.0,4429
LAT2003,A_003_031,1.0,1177
LAT2003,A_003_031,-1.0,696
LAT2003,A_003_031,-2.0,315
LAT2004,A_003_031,3.0,9523
LAT2004,A_003_031,2.0,5722
LAT2004,A_003_031,4.0,4132
LAT2004,A_003_031,1.0,1411
LAT2004,A_003_031,-1.0,1058
LAT2004,A_003_031,-2.0,250
LAT2005,A_003_031,3.0,8506
LAT2005,A_003_031,2.0,4779
LAT2005,A_003_031,4.0,4041
LAT2005,A_003_031,1.0,1346
LAT2005,A_003_031,-1.0,1255
LAT2005,A_003_031,-2.0,295
LAT2006,A_003_031,3.0,9023
LAT2006,A_003_031,2.0,7136
LAT2006,A_003_031,4.0,3729
LAT2006,A_003_031,1.0,1871
LAT2006,A_003_031,-1.0,769
LAT2006,A_003_031,-2.0,180
LAT2007,A_003_031,3.0,9258
LAT2007,A_003_031,2.0,6963
LAT2007,A_003_031,4.0,3687
LAT2007,A_003_031,1.0,1871
LAT2007,A_003_031,-1.0,734
LAT2007,A_003_031,-2.0,181
LAT2008,A_003_031,3.0,9206
LAT2008,A_003_031,2.0,6825
LAT2008,A_003_031,4.0,3634
LAT2008,A_003_031,1.0,2042
LAT2008,A_003_031,-1.0,800
LAT2008,A_003_031,-2.0,168
LAT2009,A_003_031,3.0,8444
LAT2009,A_003_031,2.0,7442
LAT2009,A_003_031,4.0,3000
LAT2009,A_003_031,1.0,2845
LAT2009,A_003_031,-1.0,831
LAT2009,A_003_031,-2.0,128
LAT2010,A_003_031,3.0,8442
LAT2010,A_003_031,2.0,7806
LAT2010,A_003_031,4.0,3268
LAT2010,A_003_031,1.0,2188
LAT2010,A_003_031,-1.0,856
LAT2010,A_003_031,-2.0,127
LAT2011,A_003_031,3.0,8592
LAT2011,A_003_031,2.0,6205
LAT2011,A_003_031,4.0,2978
LAT2011,A_003_031,1.0,1633
LAT2011,A_003_031,-1.0,659
LAT2011,A_003_031,-2.0,137
LAT2013,A_003_031,3.0,8176
LAT2013,A_003_031,2.0,5368
LAT2013,A_003_031,4.0,3340
LAT2013,A_003_031,1.0,2465
LAT2013,A_003_031,-4.0,2459
LAT2013,A_003_031,-1.0,719
LAT2013,A_003_031,-2.0,136
LAT2015,A_003_031,3.0,7609
LAT2015,A_003_031,2.0,5790
LAT2015,A_003_031,4.0,3861
LAT2015,A_003_031,1.0,2044
LAT2015,A_003_031,-1.0,793
LAT2015,A_003_031,-2.0,153
LAT2016,A_003_031,3.0,7986
LAT2016,A_003_031,2.0,4893
LAT2016,A_003_031,4.0,4527
LAT2016,A_003_031,1.0,1912
LAT2016,A_003_031,-1.0,714
LAT2016,A_003_031,-2.0,172
LAT2017,A_003_031,3.0,8204
LAT2017,A_003_031,4.0,5008
LAT2017,A_003_031,2.0,4374
LAT2017,A_003_031,1.0,1751
LAT2017,A_003_031,-1.0,724
LAT2017,A_003_031,-2.0,139
LAT2018,A_003_031,3.0,8879
LAT2018,A_003_031,4.0,5530
LAT2018,A_003_031,2.0,3615
LAT2018,A_003_031,1.0,1376
LAT2018,A_003_031,-1.0,644
LAT2018,A_003_031,-2.0,160
LAT2020,A_003_031,3.0,8159
LAT2020,A_003_031,4.0,5935
LAT2020,A_003_031,2.0,3310
LAT2020,A_003_031,1.0,1854
LAT2020,A_003_031,-1.0,727
LAT2020,A_003_031,-2.0,219
LAT2023,A_003_031,3.0,8024
LAT2023,A_003_031,4.0,5227
LAT2023,A_003_031,2.0,3483
LAT2023,A_003_031,1.0,1976
LAT2023,A_003_031,-1.0,385
LAT2023,A_003_031,-2.0,110
LAT2024,A_003_031,3.0,7616
LAT2024,A_003_031,4.0,4750
LAT2024,A_003_031,2.0,4188
LAT2024,A_003_031,1.0,2165
LAT2024,A_003_031,,495
LAT1995,A_007_001,3.0,3241
LAT1995,A_007_001,4.0,3049
LAT1995,A_007_001,2.0,1956
LAT1995,A_007_001,1.0,675
LAT1995,A_007_001,-1.0,78
LAT1995,A_007_001,-2.0,70
LAT1996,A_007_001,4.0,7871
LAT1996,A_007_001,3.0,7273
LAT1996,A_007_001,2.0,3830
LAT1996,A_007_001,1.0,1514
LAT1996,A_007_001,-2.0,543
LAT1996,A_007_001,-1.0,169
LAT1997,A_007_001,4.0,6664
LAT1997,A_007_001,3.0,6554
LAT1997,A_007_001,2.0,4816
LAT1997,A_007_001,1.0,1914
LAT1997,A_007_001,-2.0,213
LAT1997,A_007_001,-1.0,82
LAT1998,A_007_001,4.0,6998
LAT1998,A_007_001,3.0,6575
LAT1998,A_007_001,2.0,4481
LAT1998,A_007_001,1.0,1772
LAT1998,A_007_001,-2.0,380
LAT1998,A_007_001,-1.0,125
LAT2000,A_007_001,3.0,6510
LAT2000,A_007_001,4.0,5484
LAT2000,A_007_001,2.0,4129
LAT2000,A_007_001,1.0,1684
LAT2000,A_007_001,-1.0,152
LAT2000,A_007_001,-2.0,79
LAT2001,A_007_001,4.0,8125
LAT2001,A_007_001,3.0,6692
LAT2001,A_007_001,2.0,3808
LAT2001,A_007_001,1.0,1746
LAT2001,A_007_001,-2.0,153
LAT2001,A_007_001,-1.0,107
LAT2002,A_007_001,,21006
