ola,columna,valor,total_apariciones
LAT2016,H_002_241,-2.0,118
LAT2017,H_002_241,4.0,11009
LAT2017,H_002_241,3.0,5764
LAT2017,H_002_241,2.0,2426
LAT2017,H_002_241,1.0,558
LAT2017,H_002_241,-1.0,371
LAT2017,H_002_241,-2.0,72
LAT2018,H_002_241,4.0,10944
LAT2018,H_002_241,3.0,5992
LAT2018,H_002_241,2.0,2223
LAT2018,H_002_241,1.0,469
LAT2018,H_002_241,-1.0,468
LAT2018,H_002_241,-2.0,108
LAT2020,H_002_241,4.0,11097
LAT2020,H_002_241,3.0,5857
LAT2020,H_002_241,2.0,2099
LAT2020,H_002_241,1.0,600
LAT2020,H_002_241,-1.0,389
LAT2020,H_002_241,-2.0,162
LAT2023,H_002_241,4.0,9760
LAT2023,H_002_241,3.0,6095
LAT2023,H_002_241,2.0,2367
LAT2023,H_002_241,1.0,660
LAT2023,H_002_241,-1.0,241
LAT2023,H_002_241,-2.0,82
LAT2024,H_002_241,4.0,9758
LAT2024,H_002_241,3.0,5900
LAT2024,H_002_241,2.0,2603
LAT2024,H_002_241,1.0,643
LAT2024,H_002_241,,310
LAT1995,I_001_001,2.0,6264
LAT1995,I_001_001,1.0,2654
LAT1995,I_001_001,-1.0,104
LAT1995,I_001_001,-2.0,47
LAT1996,I_001_001,2.0,13656
LAT1996,I_001_001,1.0,7098
LAT1996,I_001_001,-2.0,255
LAT1996,I_001_001,-1.0,191
LAT1997,I_001_001,2.0,12743
LAT1997,I_001_001,1.0,7299
LAT1997,I_001_001,-1.0,104
LAT1997,I_001_001,-2.0,97
LAT1998,I_001_001,2.0,9974
LAT1998,I_001_001,1.0,7482
LAT1998,I_001_001,-4.0,2492
LAT1998,I_001_001,-2.0,196
LAT1998,I_001_001,-1.0,187
LAT2000,I_001_001,,18038
LAT2001,I_001_001,2.0,12164
LAT2001,I_001_001,1.0,8338
LAT2001,I_001_001,-1.0,74
LAT2001,I_001_001,-2.0,55
LAT2002,I_001_001,2.0,10943
LAT2002,I_001_001,1.0,7360
LAT2002,I_001_001,-4.0,2484
LAT2002,I_001_001,-1.0,140
LAT2002,I_001_001,-2.0,79
LAT2003,I_001_001,2.0,11599
LAT2003,I_001_001,1.0,6916
LAT2003,I_001_001,-4.0,2495
LAT2003,I_001_001,-1.0,89
LAT2003,I_001_001,-2.0,34
LAT2004,I_001_001,2.0,12644
LAT2004,I_001_001,1.0,6845
LAT2004,I_001_001,-4.0,2491
LAT2004,I_001_001,-1.0,85
LAT2004,I_001_001,-2.0,31
LAT2005,I_001_001,2.0,11554
LAT2005,I_001_001,1.0,8488
LAT2005,I_001_001,-1.0,145
LAT2005,I_001_001,-2.0,35
LAT2006,I_001_001,2.0,13500
LAT2006,I_001_001,1.0,6561
LAT2006,I_001_001,-2.0,2537
LAT2006,I_001_001,-1.0,110
LAT2007,I_001_001,2.0,12345
LAT2007,I_001_001,1.0,7664
LAT2007,I_001_001,-2.0,2540
LAT2007,I_001_001,-1.0,145
LAT2008,I_001_001,2.0,13186
LAT2008,I_001_001,1.0,6770
LAT2008,I_001_001,-2.0,2547
LAT2008,I_001_001,-1.0,172
LAT2009,I_001_001,3.0,12123
LAT2009,I_001_001,2.0,4616
LAT2009,I_001_001,1.0,3177
LAT2009,I_001_001,-2.0,2664
LAT2009,I_001_001,-1.0,110
LAT2010,I_001_001,4.0,13500
LAT2010,I_001_001,2.0,3315
LAT2010,I_001_001,1.0,2503
LAT2010,I_001_001,-3.0,2483
LAT2010,I_001_001,3.0,510
LAT2010,I_001_001,-2.0,262
LAT2010,I_001_001,-1.0,114
LAT2011,I_001_001,4.0,13165
LAT2011,I_001_001,2.0,3481
LAT2011,I_001_001,1.0,2735
LAT2011,I_001_001,3.0,556
LAT2011,I_001_001,-2.0,180
LAT2011,I_001_001,-1.0,87
LAT2013,I_001_001,4.0,11720
LAT2013,I_001_001,2.0,4449
LAT2013,I_001_001,1.0,2577
LAT2013,I_001_001,-4.0,2459
LAT2013,I_001_001,3.0,1000
LAT2013,I_001_001,-1.0,328
LAT2013,I_001_001,-2.0,130
LAT2015,I_001_001,4.0,10921
LAT2015,I_001_001,2.0,5120
LAT2015,I_001_001,1.0,2120
LAT2015,I_001_001,3.0,1847
LAT2015,I_001_001,-1.0,184
LAT2015,I_001_001,-2.0,58
LAT2016,I_001_001,4.0,12693
LAT2016,I_001_001,2.0,4243
LAT2016,I_001_001,1.0,2002
LAT2016,I_001_001,3.0,1064
LAT2016,I_001_001,-1.0,118
LAT2016,I_001_001,-2.0,84
LAT2017,I_001_001,4.0,15530
LAT2017,I_001_001,2.0,2714
LAT2017,I_001_001,1.0,1185
LAT2017,I_001_001,3.0,532
LAT2017,I_001_001,-1.0,168
LAT2017,I_001_001,-2.0,71
LAT2018,I_001_001,4.0,14977
LAT2018,I_001_001,2.0,2817
LAT2018,I_001_001,1.0,1216
LAT2018,I_001_001,3.0,772
LAT2018,I_001_001,-1.0,248
LAT2018,I_001_001,-2.0,174
LAT2020,I_001_001,4.0,13680
LAT2020,I_001_001,2.0,3840
LAT2020,I_001_001,1.0,1426
LAT2020,I_001_001,3.0,927
LAT2020,I_001_001,-1.0,227
LAT2020,I_001_001,-2.0,104
LAT2023,I_001_001,4.0,13071
LAT2023,I_001_001,2.0,3704
LAT2023,I_001_001,1.0,1385
LAT2023,I_001_001,3.0,862
LAT2023,I_001_001,-1.0,152
LAT2023,I_001_001,-2.0,31
LAT2024,I_001_001,2.0,12845
LAT2024,I_001_001,1.0,6259
LAT2024,I_001_001,,110
LAT1995,S_001,2,4766
LAT1995,S_001,1,4270
LAT1995,S_001,-2,33
LAT1996,S_001,2,10862
LAT1996,S_001,1,10328
LAT1996,S_001,-2,10
LAT1997,S_001,2,10379
LAT1997,S_001,1,9864
LAT1998,S_001,2,10442
LAT1998,S_001,1,9889
LAT2000,S_001,2,9271
LAT2000,S_001,1,8767
LAT2001,S_001,2,10524
LAT2001,S_001,1,10107
LAT2002,S_001,2,10840
LAT2002,S_001,1,10166
LAT2003,S_001,2,10839
LAT2003,S_001,1,10294
LAT2004,S_001,2,11232
LAT2004,S_001,1,10864
LAT2005,S_001,2,10296
LAT2005,S_001,1,9926
LAT2006,S_001,2,11611
LAT2006,S_001,1,11097
LAT2007,S_001,2,11557
LAT2007,S_001,1,11137
LAT2008,S_001,2,11721
LAT2008,S_001,1,10954
LAT2009,S_001,2,11818
LAT2009,S_001,1,10872
LAT2010,S_001,2,11747
LAT2010,S_001,1,10940
LAT2011,S_001,2,10518
LAT2011,S_001,1,9686
LAT2013,S_001,2,11670
LAT2013,S_001,1,10993
LAT2015,S_001,2,10446
LAT2015,S_001,1,9804
LAT2016,S_001,2,10426
LAT2016,S_001,1,9778
LAT2017,S_001,2,10535
LAT2017,S_001,1,9665
LAT2018,S_001,2,10508
LAT2018,S_001,1,9696
LAT2020,S_001,2,10537
LAT2020,S_001,1,9667
LAT2023,S_001,2,10086
LAT2023,S_001,1,9119
LAT2024,S_001,2,9940
LAT2024,S_001,1,9274
LAT1995,S_002,18,367
LAT1995,S_002,25,292
LAT1995,S_002,19,285
LAT1995,S_002,35,270
LAT1995,S_002,24,267
LAT1995,S_002,20,263
LAT1995,S_002,22,251
LAT1995,S_002,21,241
LAT1995,S_002,30,239
LAT1995,S_002,32,233
LAT1995,S_002,23,229
LAT1995,S_002,27,227
LAT1995,S_002,40,223
LAT1995,S_002,28,218
LAT1995,S_002,34,216
LAT1995,S_002,29,216
LAT1995,S_002,26,214
LAT1995,S_002,45,205
LAT1995,S_002,44,191
LAT1995,S_002,33,191
LAT1995,S_002,42,188
LAT1995,S_002,38,179
LAT1995,S_002,50,177
LAT1995,S_002,39,170
LAT1995,S_002,37,166
LAT1995,S_002,31,166
LAT1995,S_002,36,163
LAT1995,S_002,48,152
LAT1995,S_002,55,149
LAT1995,S_002,47,142
LAT1995,S_002,52,132
LAT1995,S_002,43,131
LAT1995,S_002,54,128
LAT1995,S_002,49,120
LAT1995,S_002,65,114
LAT1995,S_002,60,113
LAT1995,S_002,46,111
LAT1995,S_002,41,108
LAT1995,S_002,70,105
LAT1995,S_002,53,99
LAT1995,S_002,56,95
LAT1995,S_002,51,94
LAT1995,S_002,57,92
LAT1995,S_002,58,92
LAT1995,S_002,64,90
LAT1995,S_002,62,88
LAT1995,S_002,63,84
LAT1995,S_002,59,69
LAT1995,S_002,68,63
LAT1995,S_002,61,62
LAT1995,S_002,66,54
LAT1995,S_002,69,52
LAT1995,S_002,67,47
LAT1995,S_002,16,46
LAT1995,S_002,17,44
LAT1995,S_002,75,36
LAT1995,S_002,72,36
LAT1995,S_002,15,36
LAT1995,S_002,73,32
LAT1995,S_002,71,26
LAT1995,S_002,79,21
LAT1995,S_002,74,20
LAT1995,S_002,78,19
LAT1995,S_002,76,19
LAT1995,S_002,77,18
LAT1995,S_002,80,15
LAT1995,S_002,83,13
LAT1995,S_002,-2,12
LAT1995,S_002,82,10
LAT1995,S_002,81,10
LAT1995,S_002,84,5
LAT1995,S_002,85,5
LAT1995,S_002,87,3
LAT1995,S_002,90,3
LAT1995,S_002,88,2
LAT1995,S_002,94,1
LAT1995,S_002,99,1
LAT1995,S_002,96,1
LAT1995,S_002,89,1
LAT1995,S_002,93,1
LAT1996,S_002,18,750
LAT1996,S_002,19,676
LAT1996,S_002,30,668
LAT1996,S_002,25,652
LAT1996,S_002,20,645
LAT1996,S_002,22,642
LAT1996,S_002,28,636
LAT1996,S_002,23,605
LAT1996,S_002,32,596
LAT1996,S_002,35,593
LAT1996,S_002,24,571
LAT1996,S_002,27,561
LAT1996,S_002,26,555
LAT1996,S_002,40,550
LAT1996,S_002,29,530
LAT1996,S_002,38,508
LAT1996,S_002,21,505
LAT1996,S_002,36,463
LAT1996,S_002,33,462
LAT1996,S_002,34,443
LAT1996,S_002,45,440
LAT1996,S_002,42,391
LAT1996,S_002,31,387
LAT1996,S_002,37,385
LAT1996,S_002,39,363
LAT1996,S_002,50,357
LAT1996,S_002,44,318
LAT1996,S_002,60,313
LAT1996,S_002,48,313
LAT1996,S_002,43,312
LAT1996,S_002,46,304
LAT1996,S_002,52,290
LAT1996,S_002,47,284
LAT1996,S_002,41,278
LAT1996,S_002,55,269
LAT1996,S_002,53,258
LAT1996,S_002,56,253
LAT1996,S_002,54,239
LAT1996,S_002,99,235
LAT1996,S_002,51,222
LAT1996,S_002,65,213
LAT1996,S_002,49,213
LAT1996,S_002,58,210
LAT1996,S_002,70,198
LAT1996,S_002,62,191
LAT1996,S_002,57,171
LAT1996,S_002,64,169
LAT1996,S_002,59,169
LAT1996,S_002,63,165
LAT1996,S_002,68,152
LAT1996,S_002,66,144
LAT1996,S_002,61,142
LAT1996,S_002,67,138
LAT1996,S_002,69,121
LAT1996,S_002,72,104
LAT1996,S_002,75,82
LAT1996,S_002,71,79
LAT1996,S_002,73,77
LAT1996,S_002,74,73
LAT1996,S_002,17,71
LAT1996,S_002,76,69
LAT1996,S_002,80,57
LAT1996,S_002,78,49
LAT1996,S_002,16,49
LAT1996,S_002,77,44
LAT1996,S_002,79,36
LAT1996,S_002,15,33
LAT1996,S_002,81,24
LAT1996,S_002,83,21
LAT1996,S_002,82,20
LAT1996,S_002,85,19
LAT1996,S_002,-2,18
LAT1996,S_002,86,18
LAT1996,S_002,84,12
LAT1996,S_002,90,8
LAT1996,S_002,87,6
LAT1996,S_002,89,5
LAT1996,S_002,88,3
LAT1996,S_002,91,2
LAT1996,S_002,93,1
LAT1996,S_002,94,1
LAT1996,S_002,92,1
LAT1997,S_002,18,735
LAT1997,S_002,30,671
LAT1997,S_002,35,647
LAT1997,S_002,25,619
LAT1997,S_002,19,607
LAT1997,S_002,20,592
LAT1997,S_002,29,570
LAT1997,S_002,28,563
LAT1997,S_002,40,560
LAT1997,S_002,32,528
LAT1997,S_002,22,526
LAT1997,S_002,21,515
LAT1997,S_002,27,506
LAT1997,S_002,38,493
LAT1997,S_002,34,492
LAT1997,S_002,24,488
LAT1997,S_002,23,484
LAT1997,S_002,26,462
LAT1997,S_002,45,462
LAT1997,S_002,36,435
LAT1997,S_002,37,434
LAT1997,S_002,33,408
LAT1997,S_002,42,405
LAT1997,S_002,39,395
LAT1997,S_002,50,387
LAT1997,S_002,31,368
LAT1997,S_002,43,363
LAT1997,S_002,44,315
LAT1997,S_002,52,309
LAT1997,S_002,48,300
LAT1997,S_002,47,297
LAT1997,S_002,41,292
LAT1997,S_002,53,280
LAT1997,S_002,55,280
LAT1997,S_002,60,276
LAT1997,S_002,54,264
LAT1997,S_002,46,247
LAT1997,S_002,49,240
LAT1997,S_002,58,217
LAT1997,S_002,65,213
LAT1997,S_002,56,212
LAT1997,S_002,57,192
LAT1997,S_002,51,178
LAT1997,S_002,70,176
LAT1997,S_002,64,173
LAT1997,S_002,62,156
LAT1997,S_002,67,149
LAT1997,S_002,63,144
LAT1997,S_002,61,142
LAT1997,S_002,68,142
LAT1997,S_002,66,136
LAT1997,S_002,59,134
LAT1997,S_002,72,101
LAT1997,S_002,69,91
LAT1997,S_002,73,87
LAT1997,S_002,71,79
LAT1997,S_002,80,76
LAT1997,S_002,74,71
LAT1997,S_002,75,70
LAT1997,S_002,77,58
LAT1997,S_002,76,51
LAT1997,S_002,78,50
LAT1997,S_002,16,46
LAT1997,S_002,79,42
LAT1997,S_002,15,38
LAT1997,S_002,17,28
LAT1997,S_002,83,24
LAT1997,S_002,81,23
LAT1997,S_002,-2,23
LAT1997,S_002,84,19
LAT1997,S_002,82,19
LAT1997,S_002,86,16
LAT1997,S_002,85,10
LAT1997,S_002,99,9
LAT1997,S_002,87,8
LAT1997,S_002,88,7
LAT1997,S_002,89,5
LAT1997,S_002,90,4
LAT1997,S_002,92,3
LAT1997,S_002,93,3
LAT1997,S_002,91,2
LAT1997,S_002,97,1
LAT1998,S_002,18,770
LAT1998,S_002,19,667
LAT1998,S_002,25,652
LAT1998,S_002,20,606
LAT1998,S_002,28,595
LAT1998,S_002,35,575
LAT1998,S_002,30,571
LAT1998,S_002,26,551
LAT1998,S_002,40,549
LAT1998,S_002,38,544
LAT1998,S_002,23,536
LAT1998,S_002,27,525
LAT1998,S_002,32,506
LAT1998,S_002,22,504
LAT1998,S_002,21,503
LAT1998,S_002,29,490
LAT1998,S_002,24,487
LAT1998,S_002,33,475
LAT1998,S_002,34,459
LAT1998,S_002,45,454
LAT1998,S_002,36,442
LAT1998,S_002,37,422
LAT1998,S_002,39,413
LAT1998,S_002,42,386
LAT1998,S_002,48,385
LAT1998,S_002,50,367
LAT1998,S_002,43,344
LAT1998,S_002,31,325
LAT1998,S_002,46,313
LAT1998,S_002,41,302
LAT1998,S_002,44,295
LAT1998,S_002,55,285
LAT1998,S_002,47,284
LAT1998,S_002,60,274
LAT1998,S_002,49,273
LAT1998,S_002,54,272
LAT1998,S_002,58,269
LAT1998,S_002,52,264
LAT1998,S_002,53,251
LAT1998,S_002,56,222
LAT1998,S_002,57,202
LAT1998,S_002,65,200
LAT1998,S_002,51,195
LAT1998,S_002,70,167
LAT1998,S_002,59,166
LAT1998,S_002,64,163
LAT1998,S_002,62,162
LAT1998,S_002,68,159
LAT1998,S_002,63,145
LAT1998,S_002,61,127
LAT1998,S_002,66,125
LAT1998,S_002,72,118
LAT1998,S_002,67,114
LAT1998,S_002,69,104
LAT1998,S_002,71,81
LAT1998,S_002,73,75
LAT1998,S_002,75,74
LAT1998,S_002,74,68
LAT1998,S_002,76,68
LAT1998,S_002,78,63
LAT1998,S_002,77,60
LAT1998,S_002,80,56
LAT1998,S_002,17,33
LAT1998,S_002,79,31
LAT1998,S_002,16,25
LAT1998,S_002,82,25
LAT1998,S_002,81,20
LAT1998,S_002,84,15
LAT1998,S_002,83,15
LAT1998,S_002,85,11
LAT1998,S_002,86,11
LAT1998,S_002,-2,10
LAT1998,S_002,88,8
LAT1998,S_002,87,8
LAT1998,S_002,89,5
LAT1998,S_002,90,4
LAT1998,S_002,91,3
LAT1998,S_002,92,3
LAT1998,S_002,96,2
LAT1998,S_002,98,2
LAT1998,S_002,93,1
LAT2000,S_002,18,863
LAT2000,S_002,20,613
LAT2000,S_002,19,600
LAT2000,S_002,24,596
LAT2000,S_002,25,588
LAT2000,S_002,40,562
LAT2000,S_002,23,548
LAT2000,S_002,28,520
LAT2000,S_002,22,514
LAT2000,S_002,26,470
LAT2000,S_002,27,460
LAT2000,S_002,35,460
LAT2000,S_002,30,453
LAT2000,S_002,29,439
LAT2000,S_002,21,432
LAT2000,S_002,38,419
LAT2000,S_002,32,395
LAT2000,S_002,33,393
LAT2000,S_002,45,388
LAT2000,S_002,42,376
LAT2000,S_002,36,374
LAT2000,S_002,34,374
LAT2000,S_002,39,358
LAT2000,S_002,37,354
LAT2000,S_002,50,338
LAT2000,S_002,44,292
LAT2000,S_002,43,287
LAT2000,S_002,31,273
LAT2000,S_002,48,270
LAT2000,S_002,52,267
LAT2000,S_002,47,266
LAT2000,S_002,60,263
LAT2000,S_002,55,246
LAT2000,S_002,46,241
LAT2000,S_002,41,234
LAT2000,S_002,54,228
LAT2000,S_002,53,221
LAT2000,S_002,49,208
LAT2000,S_002,58,205
LAT2000,S_002,63,189
LAT2000,S_002,65,184
LAT2000,S_002,56,179
LAT2000,S_002,62,178
LAT2000,S_002,57,168
LAT2000,S_002,59,164
LAT2000,S_002,51,158
LAT2000,S_002,61,142
LAT2000,S_002,70,131
LAT2000,S_002,64,126
LAT2000,S_002,67,105
LAT2000,S_002,72,104
LAT2000,S_002,68,101
LAT2000,S_002,69,88
LAT2000,S_002,66,84
LAT2000,S_002,73,71
LAT2000,S_002,74,65
LAT2000,S_002,75,64
LAT2000,S_002,76,60
LAT2000,S_002,71,58
LAT2000,S_002,78,42
LAT2000,S_002,77,40
LAT2000,S_002,80,38
LAT2000,S_002,79,27
LAT2000,S_002,83,18
LAT2000,S_002,82,16
LAT2000,S_002,87,11
LAT2000,S_002,85,9
LAT2000,S_002,81,8
LAT2000,S_002,84,7
LAT2000,S_002,86,4
LAT2000,S_002,88,4
LAT2000,S_002,89,2
LAT2000,S_002,90,1
LAT2000,S_002,92,1
LAT2000,S_002,95,1
LAT2000,S_002,99,1
LAT2000,S_002,91,1
LAT2001,S_002,18,796
LAT2001,S_002,19,696
LAT2001,S_002,25,682
LAT2001,S_002,20,658
LAT2001,S_002,24,621
LAT2001,S_002,23,604
LAT2001,S_002,30,596
LAT2001,S_002,26,591
LAT2001,S_002,40,558
LAT2001,S_002,22,554
LAT2001,S_002,21,542
LAT2001,S_002,27,526
LAT2001,S_002,28,498
LAT2001,S_002,32,464
LAT2001,S_002,29,461
LAT2001,S_002,38,436
LAT2001,S_002,35,433
LAT2001,S_002,42,425
LAT2001,S_002,33,397
LAT2001,S_002,39,395
LAT2001,S_002,34,394
LAT2001,S_002,45,394
LAT2001,S_002,36,365
LAT2001,S_002,31,365
LAT2001,S_002,37,354
LAT2001,S_002,50,350
LAT2001,S_002,44,339
LAT2001,S_002,43,326
LAT2001,S_002,41,324
LAT2001,S_002,60,315
LAT2001,S_002,48,309
LAT2001,S_002,54,278
LAT2001,S_002,47,276
LAT2001,S_002,53,275
LAT2001,S_002,49,271
LAT2001,S_002,46,264
LAT2001,S_002,61,253
LAT2001,S_002,52,252
LAT2001,S_002,55,246
LAT2001,S_002,65,239
LAT2001,S_002,51,229
LAT2001,S_002,62,223
LAT2001,S_002,56,219
LAT2001,S_002,58,208
LAT2001,S_002,63,202
LAT2001,S_002,70,190
LAT2001,S_002,57,188
LAT2001,S_002,59,184
LAT2001,S_002,64,184
LAT2001,S_002,68,181
LAT2001,S_002,67,160
LAT2001,S_002,66,155
LAT2001,S_002,69,135
LAT2001,S_002,72,105
LAT2001,S_002,71,95
LAT2001,S_002,75,94
LAT2001,S_002,73,89
LAT2001,S_002,74,84
LAT2001,S_002,76,75
LAT2001,S_002,80,68
LAT2001,S_002,77,62
LAT2001,S_002,16,58
LAT2001,S_002,78,56
LAT2001,S_002,79,51
LAT2001,S_002,17,47
LAT2001,S_002,83,29
LAT2001,S_002,85,26
LAT2001,S_002,81,25
LAT2001,S_002,82,23
LAT2001,S_002,84,18
LAT2001,S_002,86,14
LAT2001,S_002,88,8
LAT2001,S_002,87,7
LAT2001,S_002,89,5
LAT2001,S_002,90,3
LAT2001,S_002,91,2
LAT2001,S_002,98,1
LAT2001,S_002,99,1
LAT2001,S_002,92,1
LAT2001,S_002,93,1
LAT2001,S_002,96,1
LAT2001,S_002,-2,1
LAT2001,S_002,95,1
LAT2002,S_002,18,731
LAT2002,S_002,25,710
LAT2002,S_002,20,672
LAT2002,S_002,22,665
LAT2002,S_002,24,634
LAT2002,S_002,19,625
LAT2002,S_002,40,611
LAT2002,S_002,23,575
LAT2002,S_002,26,550
LAT2002,S_002,30,532
LAT2002,S_002,38,525
LAT2002,S_002,35,521
LAT2002,S_002,21,518
LAT2002,S_002,27,516
LAT2002,S_002,28,507
LAT2002,S_002,32,488
LAT2002,S_002,39,467
LAT2002,S_002,29,463
LAT2002,S_002,33,421
LAT2002,S_002,42,415
LAT2002,S_002,37,410
LAT2002,S_002,34,399
LAT2002,S_002,36,399
LAT2002,S_002,41,374
LAT2002,S_002,45,374
LAT2002,S_002,31,343
LAT2002,S_002,50,323
LAT2002,S_002,43,319
LAT2002,S_002,44,308
LAT2002,S_002,47,303
LAT2002,S_002,52,302
LAT2002,S_002,60,288
LAT2002,S_002,48,277
LAT2002,S_002,46,268
LAT2002,S_002,54,266
LAT2002,S_002,49,260
LAT2002,S_002,53,256
LAT2002,S_002,62,241
LAT2002,S_002,55,239
LAT2002,S_002,56,228
LAT2002,S_002,65,221
LAT2002,S_002,57,218
LAT2002,S_002,63,217
LAT2002,S_002,64,212
LAT2002,S_002,51,210
LAT2002,S_002,58,197
LAT2002,S_002,59,194
LAT2002,S_002,70,188
LAT2002,S_002,61,182
LAT2002,S_002,67,175
LAT2002,S_002,66,171
LAT2002,S_002,68,147
LAT2002,S_002,69,144
LAT2002,S_002,72,115
LAT2002,S_002,75,106
LAT2002,S_002,74,102
LAT2002,S_002,71,99
LAT2002,S_002,73,93
LAT2002,S_002,76,88
LAT2002,S_002,17,85
LAT2002,S_002,80,80
LAT2002,S_002,78,73
LAT2002,S_002,77,67
LAT2002,S_002,16,60
LAT2002,S_002,79,55
LAT2002,S_002,82,37
LAT2002,S_002,81,35
LAT2002,S_002,84,20
LAT2002,S_002,83,18
LAT2002,S_002,85,17
LAT2002,S_002,87,14
LAT2002,S_002,86,14
LAT2002,S_002,89,7
LAT2002,S_002,90,6
LAT2002,S_002,88,6
LAT2002,S_002,92,4
LAT2002,S_002,94,2
LAT2002,S_002,95,1
LAT2002,S_002,91,1
LAT2002,S_002,-2,1
LAT2002,S_002,99,1
LAT2003,S_002,18,815
LAT2003,S_002,25,675
LAT2003,S_002,40,649
LAT2003,S_002,23,643
LAT2003,S_002,20,609
LAT2003,S_002,26,609
LAT2003,S_002,22,608
LAT2003,S_002,24,599
LAT2003,S_002,19,594
LAT2003,S_002,27,530
LAT2003,S_002,30,520
LAT2003,S_002,21,504
LAT2003,S_002,28,497
LAT2003,S_002,32,493
LAT2003,S_002,38,492
LAT2003,S_002,35,483
LAT2003,S_002,33,470
LAT2003,S_002,29,450
LAT2003,S_002,42,431
LAT2003,S_002,36,409
LAT2003,S_002,34,402
LAT2003,S_002,37,395
LAT2003,S_002,39,394
LAT2003,S_002,43,382
LAT2003,S_002,45,365
LAT2003,S_002,50,363
LAT2003,S_002,31,354
LAT2003,S_002,41,348
LAT2003,S_002,48,331
LAT2003,S_002,60,328
LAT2003,S_002,44,304
LAT2003,S_002,52,295
LAT2003,S_002,47,290
LAT2003,S_002,55,288
LAT2003,S_002,53,280
LAT2003,S_002,46,275
LAT2003,S_002,54,254
LAT2003,S_002,61,241
LAT2003,S_002,49,237
LAT2003,S_002,56,235
LAT2003,S_002,58,231
LAT2003,S_002,63,226
LAT2003,S_002,62,222
LAT2003,S_002,65,222
LAT2003,S_002,59,204
LAT2003,S_002,57,197
LAT2003,S_002,51,176
LAT2003,S_002,70,173
LAT2003,S_002,64,169
LAT2003,S_002,68,167
LAT2003,S_002,67,150
LAT2003,S_002,73,146
LAT2003,S_002,66,143
LAT2003,S_002,72,141
LAT2003,S_002,69,122
LAT2003,S_002,75,109
LAT2003,S_002,74,100
LAT2003,S_002,71,98
LAT2003,S_002,80,86
LAT2003,S_002,76,78
LAT2003,S_002,77,74
LAT2003,S_002,17,72
LAT2003,S_002,78,68
LAT2003,S_002,16,64
LAT2003,S_002,79,46
LAT2003,S_002,82,43
LAT2003,S_002,81,34
LAT2003,S_002,83,29
LAT2003,S_002,85,20
LAT2003,S_002,84,18
LAT2003,S_002,87,16
LAT2003,S_002,86,14
LAT2003,S_002,88,12
LAT2003,S_002,89,10
LAT2003,S_002,91,5
LAT2003,S_002,90,3
LAT2003,S_002,-2,2
LAT2003,S_002,92,1
LAT2003,S_002,95,1
LAT2004,S_002,18,795
LAT2004,S_002,20,701
LAT2004,S_002,19,685
LAT2004,S_002,26,664
LAT2004,S_002,40,645
LAT2004,S_002,24,641
LAT2004,S_002,23,638
LAT2004,S_002,22,620
LAT2004,S_002,25,617
LAT2004,S_002,30,588
LAT2004,S_002,21,580
LAT2004,S_002,28,562
LAT2004,S_002,27,524
LAT2004,S_002,32,524
LAT2004,S_002,35,509
LAT2004,S_002,38,473
LAT2004,S_002,29,472
LAT2004,S_002,34,471
LAT2004,S_002,33,456
LAT2004,S_002,37,452
LAT2004,S_002,42,446
LAT2004,S_002,45,442
LAT2004,S_002,36,432
LAT2004,S_002,39,407
LAT2004,S_002,43,381
LAT2004,S_002,44,366
LAT2004,S_002,48,343
LAT2004,S_002,31,340
LAT2004,S_002,41,328
LAT2004,S_002,47,325
LAT2004,S_002,60,313
LAT2004,S_002,50,309
LAT2004,S_002,54,291
LAT2004,S_002,61,279
LAT2004,S_002,46,275
LAT2004,S_002,55,274
LAT2004,S_002,52,273
LAT2004,S_002,49,260
LAT2004,S_002,53,254
LAT2004,S_002,56,250
LAT2004,S_002,65,245
LAT2004,S_002,58,238
LAT2004,S_002,63,231
LAT2004,S_002,57,219
LAT2004,S_002,64,218
LAT2004,S_002,62,213
LAT2004,S_002,51,195
LAT2004,S_002,70,190
LAT2004,S_002,59,185
LAT2004,S_002,68,172
LAT2004,S_002,67,170
LAT2004,S_002,73,143
LAT2004,S_002,72,135
LAT2004,S_002,66,135
LAT2004,S_002,69,117
LAT2004,S_002,74,116
LAT2004,S_002,71,109
LAT2004,S_002,75,104
LAT2004,S_002,78,93
LAT2004,S_002,77,90
LAT2004,S_002,17,77
LAT2004,S_002,76,76
LAT2004,S_002,16,74
LAT2004,S_002,80,69
LAT2004,S_002,79,68
LAT2004,S_002,82,38
LAT2004,S_002,83,33
LAT2004,S_002,84,31
LAT2004,S_002,81,23
LAT2004,S_002,85,22
LAT2004,S_002,87,15
LAT2004,S_002,86,13
LAT2004,S_002,90,9
LAT2004,S_002,88,9
LAT2004,S_002,89,6
LAT2004,S_002,91,4
LAT2004,S_002,99,2
LAT2004,S_002,93,2
LAT2004,S_002,95,1
LAT2004,S_002,94,1
LAT2005,S_002,18,775
LAT2005,S_002,40,670
LAT2005,S_002,25,644
LAT2005,S_002,20,636
LAT2005,S_002,19,629
LAT2005,S_002,24,601
LAT2005,S_002,30,598
LAT2005,S_002,26,586
LAT2005,S_002,23,560
LAT2005,S_002,22,556
LAT2005,S_002,21,523
LAT2005,S_002,28,522
LAT2005,S_002,35,513
LAT2005,S_002,27,506
LAT2005,S_002,38,478
LAT2005,S_002,32,458
LAT2005,S_002,39,434
LAT2005,S_002,29,432
LAT2005,S_002,33,402
LAT2005,S_002,42,398
LAT2005,S_002,37,379
