year;variable;question
2018;C_006_003_011;P23ST
2020;C_006_003_011;P19ST_A
2023;C_006_003_011;P17ST
2024;C_006_003_011;P17ST
1995;D_001_001;p1
1996;D_001_001;p1
1997;D_001_001;sp1
1998;D_001_001;sp1
2000;D_001_001;P1ST
2001;D_001_001;p1st
2002;D_001_001;p2sta
2003;D_001_001;p1st
2004;D_001_001;p2st
2005;D_001_001;p2st
2006;D_001_001;p2st
2007;D_001_001;p100st
2008;D_001_001;p4st
2009;D_001_001;p3st_a
2010;D_001_001;P3ST_A
2011;D_001_001;P3ST_A
2013;D_001_001;P3STGBS
2015;D_001_001;P3STGBS
2016;D_001_001;P4STGBS
2017;D_001_001;P4STGBSC
2018;D_001_001;P6STGBSC
2020;D_001_001;P4STGBS
2023;D_001_001;P5STGBS
2024;D_001_001;P6STGBS
1995;D_001_021;
1996;D_001_021;
1997;D_001_021;
1998;D_001_021;
2000;D_001_021;
2001;D_001_021;p2st
2002;D_001_021;p2stb
2003;D_001_021;p2st
2004;D_001_021;p3st
2005;D_001_021;p3st
2006;D_001_021;p3st
2007;D_001_021;
2008;D_001_021;p5st
2009;D_001_021;p4st
2010;D_001_021;P4ST
2011;D_001_021;P4ST
2013;D_001_021;P4STGBS
2015;D_001_021;P4STGBS
2016;D_001_021;P5STGBS
2017;D_001_021;P5STGBS
2018;D_001_021;P7STGBSC
2020;D_001_021;P5STGBS
2023;D_001_021;P6STGBS
2024;D_001_021;P7STGBS
1995;D_001_041;
1996;D_001_041;
1997;D_001_041;
1998;D_001_041;
2000;D_001_041;
2001;D_001_041;p3st
2002;D_001_041;p2stc
2003;D_001_041;p3st
2004;D_001_041;p4st
2005;D_001_041;p4st
2006;D_001_041;p4st
2007;D_001_041;p2st
2008;D_001_041;p6st
2009;D_001_041;p5st
2010;D_001_041;P5ST_A
2011;D_001_041;P5STIC1A
2013;D_001_041;
2015;D_001_041;P5STICC1
2016;D_001_041;P6STICC1
2017;D_001_041;P6STICC1
2018;D_001_041;P8STIC
2020;D_001_041;P6ST
2023;D_001_041;P7ST
2024;D_001_041;P8ST
1995;D_001_061;p4
1996;D_001_061;p4
1997;D_001_061;sp4
1998;D_001_061;sp4
2000;D_001_061;P4ST
2001;D_001_061;p4st
2002;D_001_061;p2std
2003;D_001_061;p4st
2004;D_001_061;p5st
2005;D_001_061;p5st
2006;D_001_061;p5st
2007;D_001_061;
2008;D_001_061;p7st
2009;D_001_061;p6st
2010;D_001_061;P6ST
2011;D_001_061;P6ST
2013;D_001_061;P6STGBS
2015;D_001_061;P6STGBS
2016;D_001_061;
2017;D_001_061;
2018;D_001_061;
2020;D_001_061;
2023;D_001_061;
2024;D_001_061;
1995;D_001_091;
1996;D_001_091;
1997;D_001_091;
1998;D_001_091;
2000;D_001_091;
2001;D_001_091;p6st
2002;D_001_091;p2stf
2003;D_001_091;p6st
2004;D_001_091;p7st
2005;D_001_091;p7st
2006;D_001_091;p7st
2007;D_001_091;p99st
2008;D_001_091;p11st
2009;D_001_091;p8st
2010;D_001_091;P8ST
2011;D_001_091;P8STICC4
2013;D_001_091;P8STGBS
2015;D_001_091;P8STGBS
2016;D_001_091;P7STGBS
2017;D_001_091;P7STGBS
2018;D_001_091;P9STGBSC
2020;D_001_091;P7STGBS
2023;D_001_091;P8STGBS
2024;D_001_091;P9STGBS
1995;D_001_131;p76
1996;D_001_131;p78
1997;D_001_131;sp87
1998;D_001_131;sp83
2000;D_001_131;P78ST
2001;D_001_131;p88st
2002;D_001_131;p67st
2003;D_001_131;p90st
2004;D_001_131;p89st
2005;D_001_131;s1
2006;D_001_131;s1
2007;D_001_131;s2
2008;D_001_131;s2
2009;D_001_131;s2
2010;D_001_131;S4
2011;D_001_131;S10ICC12
2013;D_001_131;S6
2015;D_001_131;S4
2016;D_001_131;S4
2017;D_001_131;
2018;D_001_131;
2020;D_001_131;
2023;D_001_131;
2024;D_001_131;
1995;G_002_011;
1996;G_002_011;
1997;G_002_011;
1998;G_002_011;
2000;G_002_011;
2001;G_002_011;p18nb
2002;G_002_011;p8stb
2003;G_002_011;p75stb
2004;G_002_011;p51stb
2005;G_002_011;p82stb
2006;G_002_011;p68st_b
2007;G_002_011;p71st_b
2008;G_002_011;p72st_d
2009;G_002_011;p73st_d
2010;G_002_011;P70ST_E
2011;G_002_011;P80ST_F
2013;G_002_011;P63TGBSM
2015;G_002_011;P66ST
2016;G_002_011;P38STA
2017;G_002_011;
2018;G_002_011;
2020;G_002_011;P68ST
2023;G_002_011;
2024;G_002_011;P50ST.B
1995;G_005_001;
1996;G_005_001;
1997;G_005_001;
1998;G_005_001;
2000;G_005_001;
2001;G_005_001;
2002;G_005_001;
2003;G_005_001;
2004;G_005_001;p54st
2005;G_005_001;p83st
2006;G_005_001;p33st
2007;G_005_001;p72st
2008;G_005_001;p73st
2009;G_005_001;p74st
2010;G_005_001;P68ST
2011;G_005_001;P81ST
2013;G_005_001;P69ST
2015;G_005_001;P67ST
2016;G_005_001;
2017;G_005_001;P38ST
2018;G_005_001;
2020;G_005_001;P70ST
2023;G_005_001;P60ST
2024;G_005_001;P55ST
1995;H_001_011;
1996;H_001_011;p12
1997;H_001_011;sp21
1998;H_001_011;sp20
2000;H_001_011;P17ST
2001;H_001_011;p42st
2002;H_001_011;p29st
2003;H_001_011;p20st
2004;H_001_011;p43st
2005;H_001_011;p14st
2006;H_001_011;p45st
2007;H_001_011;p23st
2008;H_001_011;p21wvsst
2009;H_001_011;p58st
2010;H_001_011;P55ST
2011;H_001_011;P25ST
2013;H_001_011;P29STGBS
2015;H_001_011;P15STGBS
2016;H_001_011;P12STGBS
2017;H_001_011;P13STGBS
2018;H_001_011;P11STGBS
2020;H_001_011;P9STGBS
2023;H_001_011;P9STGBS
2024;H_001_011;P10STGBS
1995;H_002_011;p27i
1996;H_002_011;p33i
1997;H_002_011;sp63f
1998;H_002_011;sp38f
2000;H_002_011;P35ST_F
2001;H_002_011;p61stf
2002;H_002_011;p36std
2003;H_002_011;p21stf
2004;H_002_011;p34stf
2005;H_002_011;p45sta
2006;H_002_011;p24st_f
2007;H_002_011;p24st_f
2008;H_002_011;p28st_a
2009;H_002_011;p26st_a
2010;H_002_011;P20ST_A
2011;H_002_011;P22ST_A
2013;H_002_011;P26TGB_C
2015;H_002_011;P16ST_F
