year;variable;question;label
2005;B_001_101;p22st;País para todos o para los poderosos
2006;B_001_101;p20stm;País para todos o para los poderosos
2007;B_001_101;p16st;País para todos o para los poderosos
2008;B_001_101;p25st;País para todos o para los poderosos
2009;B_001_101;p22st;País para todos o para los poderosos
2010;B_001_101;P17ST;País para todos o para los poderosos
2011;B_001_101;P19ST;País para todos o para los poderosos
2013;B_001_101;P14ST;País para todos o para los poderosos
2015;B_001_101;P14ST;País para todos o para los poderosos
2016;B_001_101;P10ST;País para todos o para los poderosos
2017;B_001_101;P10ST;País para todos o para los poderosos
2018;B_001_101;P14ST;País para todos o para los poderosos
2020;B_001_101;P12ST;País para todos o para los poderosos
2023;B_001_101;P12ST;País para todos o para los poderosos
2024;B_001_101;P13ST;País para todos o para los poderosos
1995;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
1996;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
1997;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
1998;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
2000;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
2001;B_006_061;;Aprobación de la gestión del gobierno que encabeza el Presidente
2002;B_006_061;p18no2;Aprobación de la gestión del gobierno que encabeza el Presidente
2003;B_006_061;p24st;Aprobación de la gestión del gobierno que encabeza el Presidente
2004;B_006_061;p46st;Aprobación de la gestión del gobierno que encabeza el Presidente
2005;B_006_061;p29st;Aprobación de la gestión del gobierno que encabeza el Presidente
2006;B_006_061;p43st;Aprobación de la gestión del gobierno que encabeza el Presidente
2007;B_006_061;p32sta;Aprobación de la gestión del gobierno que encabeza el Presidente
2008;B_006_061;p32st_a;Aprobación de la gestión del gobierno que encabeza el Presidente
2009;B_006_061;p68st_a;Aprobación de la gestión del gobierno que encabeza el Presidente
2010;B_006_061;P59ST_A;Aprobación de la gestión del gobierno que encabeza el Presidente
2011;B_006_061;P36ST;Aprobación de la gestión del gobierno que encabeza el Presidente
2013;B_006_061;P38STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
2015;B_006_061;P48STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
2016;B_006_061;P16STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
2017;B_006_061;P17STGBSC;Aprobación de la gestión del gobierno que encabeza el Presidente
2018;B_006_061;P20STGBSC;Aprobación de la gestión del gobierno que encabeza el Presidente
2020;B_006_061;P17STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
2023;B_006_061;P15STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
2024;B_006_061;P15STGBS;Aprobación de la gestión del gobierno que encabeza el Presidente
1995;C_001_031;;Problema más importante en el país
1996;C_001_031;;Problema más importante en el país
