modelo,estrategia_balanceo,variante_target,pliegue,n_hp_optimizados,n_hp_completos,n_trials_optuna,kappa_val_optuna,hp_optimizados,hp_completos,config_entrenamiento,archivo
LightGBM,smotenc,ordinal_4clases,final,9,15,50,0.45987,"{""n_estimators"": 500, ""num_leaves"": 113, ""max_depth"": 8, ""learning_rate"": 0.18284035030248838, ""subsample"": 0.6388303087511908, ""colsample_bytree"": 0.8605503867647841, ""reg_alpha"": 2.7818692703121606e-06, ""reg_lambda"": 3.6060663463081764e-07, ""min_child_samples"": 70}","{""objective"": ""multiclass"", ""num_class"": 4, ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""gpu"", ""n_estimators"": 500, ""num_leaves"": 113, ""max_depth"": 8, ""learning_rate"": 0.18284035030248838, ""subsample"": 0.6388303087511908, ""colsample_bytree"": 0.8605503867647841, ""reg_alpha"": 2.7818692703121606e-06, ""reg_lambda"": 3.6060663463081764e-07, ""min_child_samples"": 70}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping_rounds"": 50, ""log_evaluation"": -1, ""cat_features_nombre"": [""S_200""], ""cat_features_dtype"": ""pandas.CategoricalDtype compartido entre splits"", ""n_features"": 28, ""n_registros_train"": 657776, ""best_iteration"": 30, ""n_arboles_ajustados"": 30}",hp_LightGBM_smotenc_ordinal_4clases.json
OLO,pesos_clase,ordinal_4clases,final,1,4,20,0.477245,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-0.443705, -0.107722, 0.283463]}",hp_OLO_pesos_clase_ordinal_4clases.json
OLO,sin_balanceo,ordinal_4clases,final,1,4,20,0.393281,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-1.639489, -0.599074, 1.114394]}",hp_OLO_sin_balanceo_ordinal_4clases.json
OLO,smotenc,ordinal_4clases,final,1,4,20,0.480352,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-0.407294, -0.0442, 0.396951]}",hp_OLO_smotenc_ordinal_4clases.json
TabNet,pesos_clase,ordinal_4clases,final,8,18,20,0.478292,"{""n_d"": 16, ""n_a"": 32, ""n_steps"": 6, ""gamma"": 1.02448695860796, ""lambda_sparse"": 1.0222716719035383e-06, ""momentum"": 0.16161998596669064, ""mask_type"": ""entmax"", ""lr"": 0.0006493516319310002}","{""optimizer_fn"": ""torch.optim.Adam"", ""scheduler_fn"": ""torch.optim.lr_scheduler.StepLR"", ""scheduler_params"": {""step_size"": 10, ""gamma"": 0.9}, ""cat_idxs"": [22], ""cat_dims"": [8], ""cat_emb_dim"": 3, ""verbose"": 0, ""device_name"": ""cuda"", ""seed"": 42, ""optimizer_params"": {""lr"": 0.0006493516319310002}, ""n_d"": 16, ""n_a"": 32, ""n_steps"": 6, ""gamma"": 1.02448695860796, ""lambda_sparse"": 1.0222716719035383e-06, ""momentum"": 0.16161998596669064, ""mask_type"": ""entmax"", ""lr"": 0.0006493516319310002}","{""max_epochs"": 200, ""patience"": 20, ""batch_size"": 1024, ""virtual_batch_size"": 128, ""eval_metric"": [""balanced_accuracy""], ""weights"": 0, ""eval_set"": ""conjunto de validación"", ""usa_sample_weight"": false, ""loss_fn"": ""CrossEntropyLoss ponderada por frecuencia inversa de clase"", ""pesos_clase"": [2.652393229458581, 0.9245316193564772, 0.5755637177397777, 1.2438953870416611], ""max_epochs_optuna"": 100, ""patience_optuna"": 15, ""n_features"": 28, ""n_registros_train"": 378592, ""epocas_entrenadas"": 42, ""entrada"": ""X normalizada con MinMaxScaler""}",hp_TabNet_pesos_clase_ordinal_4clases.json
TabNet,sin_balanceo,ordinal_4clases,final,8,18,20,0.469213,"{""n_d"": 40, ""n_a"": 64, ""n_steps"": 3, ""gamma"": 1.1959828624191453, ""lambda_sparse"": 1.3667272915456224e-06, ""momentum"": 0.13687882899767312, ""mask_type"": ""sparsemax"", ""lr"": 0.004544383960336014}","{""optimizer_fn"": ""torch.optim.Adam"", ""scheduler_fn"": ""torch.optim.lr_scheduler.StepLR"", ""scheduler_params"": {""step_size"": 10, ""gamma"": 0.9}, ""cat_idxs"": [22], ""cat_dims"": [8], ""cat_emb_dim"": 3, ""verbose"": 0, ""device_name"": ""cuda"", ""seed"": 42, ""optimizer_params"": {""lr"": 0.004544383960336014}, ""n_d"": 40, ""n_a"": 64, ""n_steps"": 3, ""gamma"": 1.1959828624191453, ""lambda_sparse"": 1.3667272915456224e-06, ""momentum"": 0.13687882899767312, ""mask_type"": ""sparsemax"", ""lr"": 0.004544383960336014}","{""max_epochs"": 200, ""patience"": 20, ""batch_size"": 1024, ""virtual_batch_size"": 128, ""eval_metric"": [""balanced_accuracy""], ""weights"": 0, ""eval_set"": ""conjunto de validación"", ""usa_sample_weight"": false, ""loss_fn"": ""cross_entropy (por defecto)"", ""pesos_clase"": null, ""max_epochs_optuna"": 100, ""patience_optuna"": 15, ""n_features"": 28, ""n_registros_train"": 378592, ""epocas_entrenadas"": 43, ""entrada"": ""X normalizada con MinMaxScaler""}",hp_TabNet_sin_balanceo_ordinal_4clases.json
TabNet,smotenc,ordinal_4clases,final,8,18,20,0.482751,"{""n_d"": 32, ""n_a"": 24, ""n_steps"": 6, ""gamma"": 1.139493860652042, ""lambda_sparse"": 7.523742884534855e-06, ""momentum"": 0.15288111888453979, ""mask_type"": ""entmax"", ""lr"": 0.00025081156860452336}","{""optimizer_fn"": ""torch.optim.Adam"", ""scheduler_fn"": ""torch.optim.lr_scheduler.StepLR"", ""scheduler_params"": {""step_size"": 10, ""gamma"": 0.9}, ""cat_idxs"": [22], ""cat_dims"": [8], ""cat_emb_dim"": 3, ""verbose"": 0, ""device_name"": ""cuda"", ""seed"": 42, ""optimizer_params"": {""lr"": 0.00025081156860452336}, ""n_d"": 32, ""n_a"": 24, ""n_steps"": 6, ""gamma"": 1.139493860652042, ""lambda_sparse"": 7.523742884534855e-06, ""momentum"": 0.15288111888453979, ""mask_type"": ""entmax"", ""lr"": 0.00025081156860452336}","{""max_epochs"": 200, ""patience"": 20, ""batch_size"": 1024, ""virtual_batch_size"": 128, ""eval_metric"": [""balanced_accuracy""], ""weights"": 0, ""eval_set"": ""conjunto de validación"", ""usa_sample_weight"": false, ""loss_fn"": ""cross_entropy (por defecto)"", ""pesos_clase"": null, ""max_epochs_optuna"": 100, ""patience_optuna"": 15, ""n_features"": 28, ""n_registros_train"": 657776, ""epocas_entrenadas"": 62, ""entrada"": ""X normalizada con MinMaxScaler""}",hp_TabNet_smotenc_ordinal_4clases.json
XGBoost,pesos_clase,ordinal_4clases,final,8,15,50,0.479894,"{""n_estimators"": 400, ""max_depth"": 8, ""learning_rate"": 0.016104157884541646, ""subsample"": 0.7051007901873838, ""colsample_bytree"": 0.7787094917665794, ""min_child_weight"": 8, ""reg_alpha"": 0.009247014202484223, ""reg_lambda"": 8.038061038966326}","{""objective"": ""multi:softprob"", ""num_class"": 4, ""tree_method"": ""hist"", ""device"": ""gpu"", ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": 0, ""n_estimators"": 400, ""max_depth"": 8, ""learning_rate"": 0.016104157884541646, ""subsample"": 0.7051007901873838, ""colsample_bytree"": 0.7787094917665794, ""min_child_weight"": 8, ""reg_alpha"": 0.009247014202484223, ""reg_lambda"": 8.038061038966326}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping"": ""no (n_estimators lo fija Optuna)"", ""n_features"": 28, ""n_registros_train"": 378592}",hp_XGBoost_pesos_clase_ordinal_4clases.json
XGBoost,sin_balanceo,ordinal_4clases,final,8,15,50,0.45775,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06142210792975936, ""subsample"": 0.6447904467992578, ""colsample_bytree"": 0.8919339318126805, ""min_child_weight"": 5, ""reg_alpha"": 0.00014422243561458016, ""reg_lambda"": 0.0026174950416085227}","{""objective"": ""multi:softprob"", ""num_class"": 4, ""tree_method"": ""hist"", ""device"": ""gpu"", ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": 0, ""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06142210792975936, ""subsample"": 0.6447904467992578, ""colsample_bytree"": 0.8919339318126805, ""min_child_weight"": 5, ""reg_alpha"": 0.00014422243561458016, ""reg_lambda"": 0.0026174950416085227}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping"": ""no (n_estimators lo fija Optuna)"", ""n_features"": 28, ""n_registros_train"": 378592}",hp_XGBoost_sin_balanceo_ordinal_4clases.json
XGBoost,smotenc,ordinal_4clases,final,8,15,50,0.464065,"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.011662890273931383, ""subsample"": 0.7301321323053057, ""colsample_bytree"": 0.7554709158757928, ""min_child_weight"": 3, ""reg_alpha"": 0.28749982347407854, ""reg_lambda"": 1.6247252885719427e-05}","{""objective"": ""multi:softprob"", ""num_class"": 4, ""tree_method"": ""hist"", ""device"": ""gpu"", ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": 0, ""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.011662890273931383, ""subsample"": 0.7301321323053057, ""colsample_bytree"": 0.7554709158757928, ""min_child_weight"": 3, ""reg_alpha"": 0.28749982347407854, ""reg_lambda"": 1.6247252885719427e-05}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping"": ""no (n_estimators lo fija Optuna)"", ""n_features"": 28, ""n_registros_train"": 657776}",hp_XGBoost_smotenc_ordinal_4clases.json
