clase_pred,clase_real,distancia,tipo,n_casos,pct_test,paises_top
0,2,2,Subestimacion,9,0.42,"República Dominicana(5), Costa Rica(2)"
0,3,3,Subestimacion,2,0.09,"Perú(1), Honduras(1)"
1,3,2,Subestimacion,22,1.03,"Argentina(4), Colombia(4)"
2,0,2,Sobreestimacion,84,3.94,"Guatemala(12), República Dominicana(11)"
3,0,3,Sobreestimacion,11,0.52,"Argentina(2), Ecuador(2)"
3,1,2,Sobreestimacion,15,0.7,"Argentina(9), Colombia(1)"
