modelo,pesos_clase,sin_balanceo,smotenc
CatBoost,0.46671652954375475,0.5247722728282603,0.5109413707679604
LightGBM,0.49844236760124605,0.49399062945610106,0.5357363542739444
OLO,0.490927218344965,0.4661195779601407,0.4901212242984395
TabNet,0.33006085192697765,0.33006085192697765,0.4900652090525508
XGBoost,0.4860728497092134,0.4714567952583967,0.5258468869781415
