,OLO,XGBoost,CatBoost,LightGBM,TabNet
OLO,1.0,0.8402233648049634,0.3691688152318042,0.98575686121016,0.9990238324105165
XGBoost,0.8402233648049634,1.0,0.9379758399149797,0.5302985918319809,0.9379758399149798
CatBoost,0.3691688152318042,0.9379758399149797,1.0,0.13728071860877133,0.5302985918319806
LightGBM,0.98575686121016,0.5302985918319809,0.13728071860877133,1.0,0.9379758399149799
TabNet,0.9990238324105165,0.9379758399149798,0.5302985918319806,0.9379758399149799,1.0
