bloque,Cono Sur,Región Andina,Brasil,Centroamérica,México y Caribe
Contexto democrático,0.047293810621141776,0.02264546525288911,0.009965599272348379,0.034807432056077565,0.02188672299811525
Evaluación económica,0.07196370209376066,0.07740730860817041,0.07763350755266758,0.08025379020521667,0.07990904761824606
Confianza institucional,0.03667200882814832,0.03809112910608735,0.035550596439953175,0.03741222589797925,0.036519612355754225
Corrupción y seguridad,0.03144387811984133,0.03229161029094016,0.030808620811370327,0.030536448456987678,0.03040865732786678
Percepción política,0.11947280834537805,0.12347828261907973,0.1189111814731579,0.11957980605058503,0.11873976849907283
Características sociodemográficas,0.0006890548344113063,0.0006825783649668725,0.0006754624270270649,0.0006772667728453094,0.0006660896572585309
