metrica,sin_ponderar,ponderado_X020,diferencia
kappa_cuadratico,0.5386,0.5394,0.0008
mae_ordinal,0.5688,0.5691,0.0002
accuracy,0.5158,0.5159,0.0002
f1_macro,0.4782,0.4781,-0.0001
balanced_accuracy,0.4676,0.4676,-0.0001
auroc_macro,0.7582,0.7587,0.0005
