modelo,kappa_media,kappa_sd,kappa_min,kappa_max,mae_media,mae_sd
CatBoost,0.4559995998984019,0.0359964278262407,0.41735240612505387,0.5025413338651619,0.6513460324457979,0.019941754564006122
LightGBM,0.4599422000837606,0.04015879491511561,0.41744098673572594,0.5070745337782767,0.6539645939994125,0.02131622125671106
OLO,0.44311964673052245,0.061174168876165703,0.3612443580904976,0.507341506805864,0.8396940127740303,0.07967140317525967
TabNet,0.2680575759096331,0.11978578268311599,0.09473826153518983,0.36991548571895017,0.8032763928111276,0.15649919841768273
XGBoost,0.41272500573452675,0.04418612014165304,0.36902558135890284,0.4724178900477439,0.6019187027877024,0.017819509787826
