clase_pred,clase_real,distancia,tipo,n_casos,pct_test,paises_top
0,2,2,Subestimacion,556,3.17,
0,3,3,Subestimacion,159,0.91,
1,3,2,Subestimacion,243,1.38,
2,0,2,Sobreestimacion,283,1.61,
3,0,3,Sobreestimacion,199,1.13,
3,1,2,Sobreestimacion,417,2.38,
