iter	Logloss
257	0.4789253953
258	0.4788403412
259	0.4787876018
260	0.4786733402
261	0.4785841846
262	0.4785065878
263	0.4784146979
264	0.4783518913
265	0.4782302966
266	0.4781110635
267	0.4779834202
268	0.4778692
269	0.477812732
270	0.4777169064
271	0.4776230693
272	0.4775632041
273	0.4775086419
274	0.4774193206
275	0.4773304551
276	0.4771989589
277	0.4770774885
278	0.4769598297
279	0.4768713784
280	0.4768268421
281	0.4767481681
282	0.4766883858
283	0.4765823271
284	0.476499013
285	0.4763980916
286	0.4763019345
287	0.4762401221
288	0.4761829913
289	0.4761204333
290	0.4760649182
291	0.4759875699
292	0.4759302734
293	0.4758216461
294	0.4757258619
295	0.4756252718
296	0.4755454792
297	0.4754389234
298	0.475311943
299	0.4752413063
300	0.4751341704
301	0.475044932
302	0.4749387905
303	0.4748402305
304	0.4747251402
305	0.4746542135
306	0.4745436805
307	0.4744978184
308	0.4743674822
309	0.4742871925
310	0.4742159343
311	0.474097944
312	0.4740010412
313	0.4738830923
314	0.4737463347
315	0.47362329
316	0.473535833
317	0.4734762165
318	0.4733686663
319	0.4732581747
320	0.4731888223
321	0.4731357101
322	0.473070252
323	0.4729615833
324	0.4728858094
325	0.4727835207
326	0.4726888965
327	0.4726310614
328	0.4725117868
329	0.4724214298
330	0.4723451173
331	0.4722569974
332	0.472150773
333	0.4720397843
334	0.4719242383
335	0.4718262998
336	0.4717046223
337	0.4715937578
338	0.4715285069
339	0.4714926292
340	0.4714085694
341	0.4713221067
342	0.4712320397
343	0.4711369598
344	0.4710292439
345	0.4709219838
346	0.4708393326
347	0.4707565157
348	0.4706961534
349	0.4706130465
350	0.4705097636
351	0.4704011363
352	0.4702991791
353	0.4702073721
354	0.4701083149
355	0.4700285638
356	0.4699283466
357	0.4698884089
358	0.4698301595
359	0.4697616356
360	0.4696762087
361	0.4696268665
362	0.4695176592
363	0.4694209221
364	0.4692984161
365	0.4692336623
366	0.4691845273
367	0.4690784272
368	0.4689726999
369	0.4688804372
370	0.4688416595
371	0.4687339436
372	0.4686860101
373	0.468615829
374	0.4685563368
375	0.4684886829
376	0.4683873472
377	0.4683015474
378	0.4682387822
379	0.4681461465
380	0.4680613825
381	0.4680043345
382	0.4679172918
383	0.4678634339
384	0.4677773026
385	0.4677291619
386	0.4676556666
387	0.4675433107
388	0.4674766097
389	0.4673821098
390	0.4673429178
391	0.467249495
392	0.4671489878
393	0.4671068958
394	0.467035389
395	0.4669749025
396	0.4668934527
397	0.466814903
398	0.4667221431
399	0.4666527078
400	0.4665821125
401	0.4664740652
402	0.4663892183
403	0.4663117043
404	0.4662137657
405	0.4661338903
406	0.4660415032
407	0.4659690436
408	0.4658595878
409	0.4657726279
410	0.4656752694
411	0.4655960982
412	0.4655061141
413	0.4654203557
414	0.465340066
415	0.4652418374
416	0.4651426145
417	0.4650505589
418	0.4649415588
419	0.4648862508
420	0.4647531389
421	0.4646946823
422	0.464608634
423	0.4645193127
424	0.4644279199
425	0.4643369415
426	0.4642809292
427	0.4641929751
428	0.4641088324
429	0.4640559688
430	0.4639741876
431	0.4638927379
432	0.4638155553
433	0.4637380414
434	0.4636803305
435	0.4635908021
436	0.4635264626
437	0.4634487
438	0.4633553187
439	0.4632581673
440	0.463162673
441	0.4631122952
442	0.4630497371
443	0.4629766975
444	0.4628976921
445	0.4627841761
446	0.4627344197
447	0.4626381797
448	0.4625605001
449	0.4624808318
450	0.4623749388
451	0.4622749288
452	0.4622301024
453	0.4621591757
454	0.4621064363
455	0.4620667472
456	0.4620139664
457	0.4619298238
458	0.4618395082
459	0.4617800159
460	0.4616885403
461	0.4616210108
462	0.4615344238
463	0.4614985461
464	0.4614267908
465	0.4613308408
466	0.4612516697
467	0.4611841816
468	0.4611268436
469	0.4610489153
470	0.4609800186
471	0.4608808372
472	0.4607915159
473	0.46077656
474	0.4606952759
475	0.4606094761
476	0.4604969545
477	0.4604256963
478	0.460325852
479	0.4602247649
480	0.4601685869
481	0.4601031702
482	0.4600114875
483	0.4599350921
484	0.4598930829
485	0.4597875214
486	0.4597384278
487	0.459651758
488	0.4595780969
489	0.4594973929
490	0.4594165232
491	0.4593651924
492	0.4593015158
493	0.4592112002
494	0.4591404392
495	0.4590843855
496	0.4590152816
497	0.4589645723
498	0.4588762039
499	0.4588064372
