iter	Logloss
0	0.6376857467
1	0.6083455667
2	0.5878037825
3	0.5737496407
4	0.565325806
5	0.5567036085
6	0.5504244377
7	0.545774759
8	0.5424883487
9	0.538904394
10	0.5354166793
11	0.532949945
12	0.5314545177
13	0.5300836679
14	0.5285558843
15	0.5270360552
16	0.5256748584
17	0.524472791
18	0.5234044156
19	0.5225010111
20	0.5217114125
21	0.5209035023
22	0.5197527242
23	0.5190095677
24	0.5184381766
25	0.5180018032
26	0.5176239277
27	0.5170944215
28	0.5164961014
29	0.5159209816
30	0.5154149658
31	0.5150142628
32	0.5144692621
33	0.5141626034
34	0.5135430301
35	0.5130059838
36	0.5126630745
37	0.5123688446
38	0.5120511657
39	0.5114380554
40	0.5112328567
41	0.5109621585
42	0.5106909217
43	0.5104586284
44	0.5101861901
45	0.5099305722
46	0.5097307178
47	0.5095057989
48	0.509336395
49	0.5091838942
50	0.5089297677
51	0.5087147917
52	0.5083183974
53	0.5079263532
54	0.5077482492
55	0.5075178616
56	0.5071313688
57	0.50691805
58	0.5066582891
59	0.506601324
60	0.5064240486
61	0.5061482546
62	0.5059749564
63	0.5055808407
64	0.5053270042
65	0.5050784706
66	0.5047962136
67	0.5045792491
68	0.5043768261
69	0.5041313997
70	0.503912778
71	0.5037098165
72	0.5034254467
73	0.5032511956
74	0.5030378768
75	0.5028741487
76	0.5026865988
77	0.5024173921
78	0.5022286408
79	0.5020540997
80	0.501895716
81	0.5017270578
82	0.5015325893
83	0.501344128
84	0.5011063246
85	0.5008651654
86	0.5006420279
87	0.5005081702
88	0.5003373163
89	0.5001752454
90	0.4998942728
91	0.4997031186
92	0.4994920369
93	0.4993321203
94	0.499170298
95	0.4990262073
96	0.4988615264
97	0.4986708279
98	0.4984725893
99	0.4982990425
100	0.4980572205
101	0.4979154499
102	0.4977293915
103	0.497592468
104	0.497408274
105	0.4972300457
106	0.4970626718
107	0.4969466287
108	0.4967702233
109	0.4966153196
110	0.4965233469
111	0.496353653
112	0.4962045494
113	0.4960419399
114	0.4958873677
115	0.4957378498
116	0.4955712631
117	0.4954111808
118	0.4952295139
119	0.4950531913
120	0.4949312653
121	0.4947320738
122	0.4945674343
123	0.4944381753
124	0.4941949032
125	0.4940807658
126	0.4939494768
127	0.493824485
128	0.4936856144
129	0.4935786029
130	0.4934422595
131	0.4932821357
132	0.493126072
133	0.4929407179
134	0.4927807599
135	0.4926284663
136	0.4924746812
137	0.4923610824
138	0.4922789698
139	0.4921596123
140	0.4919886756
141	0.4918504679
142	0.4917003286
143	0.4915450935
144	0.4913828154
145	0.4912267931
146	0.4910790153
147	0.490949342
148	0.4908110928
149	0.4906954226
150	0.4905663707
151	0.4904399289
152	0.4903280701
153	0.4901931768
154	0.4900616806
155	0.4899280715
156	0.4898351873
157	0.4896724949
158	0.4895227699
159	0.4893631019
160	0.4892836822
161	0.4891292757
162	0.4890122797
163	0.4888829378
164	0.4887621304
165	0.4886299299
166	0.4885314942
167	0.4883880664
168	0.4882549545
169	0.4881544059
170	0.4880573373
171	0.4879226096
172	0.4878131952
173	0.4877160024
174	0.4876038536
175	0.4874833362
176	0.4873960863
177	0.4872560557
178	0.4871826018
179	0.4870533014
180	0.4869215152
181	0.4867883204
182	0.486673313
183	0.4865345667
184	0.4864217965
185	0.4863133764
186	0.4861975818
187	0.4860660857
188	0.4859434553
189	0.48586967
190	0.485781923
191	0.485645331
192	0.4855447824
193	0.4854433224
194	0.4853077247
195	0.4851918059
196	0.4850984245
197	0.4849589739
198	0.4848351007
199	0.4847513724
200	0.4846039674
201	0.4845160961
202	0.4843884528
203	0.4843017001
204	0.4841936943
205	0.4841028401
206	0.4839995986
207	0.4838828927
208	0.4837980871
209	0.483660708
210	0.4835614852
211	0.4834728682
212	0.4833466335
213	0.4832409891
214	0.4831699381
215	0.4830667794
216	0.4829388462
217	0.4828092557
218	0.4826793338
219	0.4825780809
220	0.4824707794
221	0.4823508419
222	0.4822205886
223	0.4821409618
224	0.4820304287
225	0.4819401546
226	0.4818391917
227	0.4817777108
228	0.4817043812
229	0.481586888
230	0.4815100784
231	0.4813789136
232	0.4813052111
233	0.4812028396
234	0.4811431816
235	0.4810614419
236	0.4809535603
237	0.4808521417
238	0.4807646433
239	0.4807172897
240	0.4806301642
241	0.4805282484
242	0.4804268713
243	0.4803160897
244	0.4802125996
245	0.4801503315
246	0.4800869449
247	0.4799508087
248	0.479839157
249	0.4797604002
250	0.4796300226
251	0.4795296397
252	0.4794503029
253	0.4793297025
254	0.4792559172
255	0.4791418212
256	0.4790476527
